iter	Passed	Remaining
175	900	4216
176	904	4206
177	909	4199
178	914	4192
179	919	4187
180	923	4178
181	927	4169
182	932	4161
183	936	4154
184	941	4147
185	945	4139
186	950	4133
187	955	4125
188	959	4116
189	964	4110
190	969	4105
191	973	4098
192	978	4090
193	982	4083
194	987	4075
195	991	4068
196	996	4062
197	1000	4054
198	1005	4045
199	1009	4037
200	1014	4032
201	1019	4028
202	1024	4021
203	1028	4014
204	1033	4007
205	1037	3999
206	1042	3992
207	1046	3986
208	1051	3978
209	1055	3971
210	1060	3963
211	1064	3956
212	1068	3949
213	1073	3942
214	1078	3938
215	1083	3932
216	1088	3925
217	1092	3919
218	1097	3914
219	1102	3908
220	1106	3899
221	1110	3892
222	1115	3885
223	1119	3878
224	1124	3871
225	1128	3866
226	1133	3859
227	1137	3852
228	1142	3846
229	1147	3842
230	1152	3835
231	1156	3828
232	1161	3821
233	1165	3816
234	1170	3809
235	1174	3802
236	1179	3797
237	1184	3791
238	1188	3784
239	1193	3779
240	1197	3772
241	1202	3765
242	1206	3759
243	1211	3752
244	1215	3745
245	1220	3739
246	1225	3735
247	1229	3728
248	1234	3721
249	1238	3715
250	1243	3710
251	1247	3703
252	1251	3696
253	1256	3690
254	1261	3684
255	1265	3677
256	1269	3670
257	1274	3664
258	1278	3658
259	1282	3650
260	1286	3644
261	1291	3638
262	1295	3631
263	1299	3623
264	1304	3617
265	1308	3610
266	1313	3605
267	1317	3598
268	1322	3593
269	1327	3588
270	1331	3583
271	1336	3576
272	1340	3570
273	1345	3563
274	1349	3558
275	1355	3555
276	1360	3551
277	1365	3546
278	1370	3540
279	1375	3536
280	1380	3532
281	1385	3528
282	1391	3525
283	1396	3519
284	1400	3514
285	1406	3510
286	1411	3505
287	1416	3500
288	1421	3497
289	1426	3491
290	1430	3486
291	1435	3480
292	1440	3475
293	1444	3468
294	1448	3462
295	1453	3457
296	1458	3452
297	1462	3446
298	1467	3440
299	1471	3434
300	1476	3428
301	1480	3422
302	1486	3418
303	1490	3413
304	1495	3407
305	1499	3401
306	1504	3395
307	1508	3390
308	1513	3384
309	1518	3379
310	1522	3373
311	1527	3368
312	1531	3362
313	1536	3356
314	1540	3350
315	1544	3344
316	1549	3338
317	1553	3332
318	1557	3325
319	1563	3321
320	1568	3317
321	1573	3312
322	1577	3306
323	1582	3301
324	1586	3295
325	1590	3289
326	1595	3283
327	1599	3277
328	1603	3270
329	1607	3264
330	1611	3257
331	1615	3250
332	1619	3244
333	1623	3237
334	1628	3231
335	1632	3226
336	1637	3220
337	1641	3214
338	1645	3209
339	1650	3203
340	1654	3197
341	1658	3190
342	1662	3185
343	1667	3179
344	1671	3173
345	1675	3167
346	1679	3161
347	1684	3155
348	1688	3148
349	1692	3142
350	1696	3137
351	1700	3131
352	1705	3125
353	1709	3120
354	1716	3118
355	1723	3118
356	1729	3114
357	1734	3110
358	1741	3110
359	1746	3105
360	1753	3104
361	1759	3101
362	1763	3095
363	1769	3092
364	1776	3090
365	1781	3085
366	1787	3082
367	1792	3078
368	1796	3072
369	1801	3067
370	1805	3061
371	1811	3057
372	1815	3051
373	1820	3047
374	1825	3042
375	1829	3036
376	1834	3031
377	1838	3025
378	1843	3020
379	1849	3017
380	1855	3015
381	1861	3011
382	1866	3006
383	1871	3002
384	1876	2997
385	1881	2992
386	1885	2987
387	1891	2983
388	1895	2977
389	1901	2974
390	1905	2968
391	1910	2962
392	1914	2957
393	1918	2951
394	1923	2946
395	1928	2941
396	1933	2936
397	1938	2931
398	1943	2926
399	1948	2922
400	1952	2917
401	1957	2912
402	1962	2906
403	1967	2902
404	1972	2897
405	1976	2892
406	1982	2888
407	1987	2883
408	1991	2878
409	1996	2872
410	2000	2867
411	2006	2864
412	2011	2858
413	2016	2854
414	2021	2850
415	2026	2844
416	2031	2839
417	2035	2834
418	2040	2829
419	2044	2824
420	2049	2818
421	2054	2813
422	2058	2808
