iter	Accuracy	Logloss
316	0.8535603359	0.3196457595
317	0.8537904061	0.3191497081
318	0.8535603359	0.3188617422
319	0.8540204762	0.3185937653
320	0.8540204762	0.3184346103
321	0.8539054412	0.3182003314
322	0.8539054412	0.3180439024
323	0.8544806166	0.3178416517
324	0.8544806166	0.3174591736
325	0.8542505464	0.3171559018
326	0.8541355113	0.3169757535
327	0.8544806166	0.3167325445
328	0.8542505464	0.3165539098
329	0.8548257218	0.3163208983
330	0.8552858622	0.3161522421
331	0.8557460025	0.3158666379
332	0.8557460025	0.3156721829
333	0.8557460025	0.3154685241
334	0.8565512481	0.3150320784
335	0.8568963534	0.314895716
336	0.8575865639	0.314726604
337	0.8575865639	0.3145474463
338	0.8578166341	0.3144052138
339	0.857701599	0.314225683
340	0.8579316692	0.3140927221
341	0.8582767744	0.3138549715
342	0.8581617393	0.3136718702
343	0.8581617393	0.3134289868
344	0.8581617393	0.3131400649
345	0.8580467042	0.3129637472
346	0.8574715288	0.3127702971
347	0.8578166341	0.3125633911
348	0.8578166341	0.3124437717
349	0.857701599	0.3122635033
350	0.8574715288	0.3119726222
351	0.857701599	0.311837237
352	0.857701599	0.3116523127
353	0.8580467042	0.3114273251
354	0.8586218797	0.3112769705
355	0.8586218797	0.311110125
356	0.85908202	0.3108751522
357	0.85908202	0.3106859119
358	0.8593120902	0.3104456403
359	0.8595421604	0.3103087733
360	0.8596571954	0.3101001489
361	0.8596571954	0.3098556184
362	0.8595421604	0.3096116482
363	0.8598872656	0.3095261509
364	0.8600023007	0.3093230401
365	0.8605774761	0.308938946
366	0.860347406	0.3088357207
367	0.8605774761	0.3086599583
368	0.8606925112	0.3085568876
369	0.8611526516	0.3083740574
370	0.8609225814	0.3082207274
371	0.8613827217	0.3080122813
372	0.8613827217	0.3079163784
373	0.861727827	0.3077557214
374	0.8616127919	0.307533972
375	0.8618428621	0.3073924933
376	0.8620729322	0.3072031887
377	0.8618428621	0.306959979
378	0.8618428621	0.3067650715
379	0.8618428621	0.3066016286
380	0.8618428621	0.3063961737
381	0.8620729322	0.306177532
382	0.8620729322	0.3059823437
383	0.8623030024	0.3057632186
384	0.8623030024	0.3055973233
385	0.8626481077	0.3051855938
386	0.863108248	0.3050772576
387	0.8632232831	0.3048653699
388	0.8634533533	0.3046799421
389	0.8628781778	0.3044326983
390	0.8629932129	0.3042788855
391	0.863108248	0.3040815207
392	0.863108248	0.3039439977
393	0.8634533533	0.3037586965
394	0.8639134936	0.3034974283
395	0.864488669	0.3032394194
396	0.864488669	0.3031202164
397	0.8650638445	0.302912688
398	0.8651788796	0.302734849
399	0.8651788796	0.3026099464
400	0.8655239848	0.3024346562
401	0.8654089497	0.3022983185
402	0.8655239848	0.3021324333
403	0.8656390199	0.3019652523
404	0.865754055	0.3016432229
405	0.865754055	0.3014595976
406	0.8660991602	0.30123207
407	0.8667893708	0.3009820417
408	0.8666743357	0.3007807779
409	0.8667893708	0.3006529642
410	0.8667893708	0.3004979451
411	0.8672495111	0.3003087763
412	0.8669044058	0.3001019427
413	0.8669044058	0.2999470449
414	0.8667893708	0.2998560598
415	0.8667893708	0.2996684937
416	0.8666743357	0.2995462993
417	0.8665593006	0.2993026303
418	0.8670194409	0.2990676519
419	0.8669044058	0.2989637286
420	0.8670194409	0.2987510861
421	0.8673645462	0.2985362107
422	0.8675946164	0.2983827133
423	0.8674795813	0.2982885812
424	0.8677096514	0.298090644
425	0.8682848269	0.2977645055
426	0.8681697918	0.2976715712
427	0.868399862	0.2974252444
428	0.8686299321	0.2972181152
429	0.868514897	0.2969201479
430	0.868514897	0.2967745018
431	0.868514897	0.2966330957
432	0.868514897	0.296500126
433	0.8686299321	0.2963544906
434	0.8688600023	0.296125071
435	0.8688600023	0.2959656278
436	0.8688600023	0.2958752932
437	0.8690900725	0.2957795309
438	0.8694351777	0.2955958783
439	0.8696652479	0.2954487716
440	0.8693201426	0.2952753533
441	0.8701253882	0.2950554273
442	0.8698953181	0.2949320757
443	0.869780283	0.2947465715
444	0.8694351777	0.2946135878
445	0.8695502128	0.2944412335
446	0.8695502128	0.2943031607
447	0.8693201426	0.2941553946
448	0.8696652479	0.2939973814
449	0.8695502128	0.2937512318
450	0.8695502128	0.2936201997
451	0.869780283	0.2934385452
452	0.8701253882	0.2932429861
453	0.8705855286	0.2930176551
454	0.8705855286	0.2928468379
455	0.8703554584	0.292547503
456	0.8708155988	0.2923709116
457	0.8708155988	0.2922651859
458	0.8708155988	0.2920722167
459	0.8712757391	0.2918666004
460	0.8718509145	0.2916354598
461	0.8720809847	0.2913817451
